category,job_count
Sales,17
Accounting,14
Technician/Maintenance,6
Logistics/Shipping/Deliver/Warehouse,5
Merchandising/Purchasing,5
Others,5
Media/Advertising,4
IT,4
Customer Service,4
Catering/Restaurant,4
Administration,3
Management,3
Design,3
Marketing,3
Architecture/Engineering,2
Human Resource,2
Assistant/Secretary,2
Manufacturing,2
Medical/Health/Nursing,2
Finance,2
Operation/Production,2
QC/QA,2
Education/Training,1
Cashier/Receptionist,1
Translation/Interpretation,1
Project Management,1
